Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P5521,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"12,682",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,B - místní komunikace - sběrná,50° 43' 09.42360'' N,15° 10' 02.07898'' E
P5522,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"12,822",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 09.83570'' N,15° 10' 09.19045'' E
P5523,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"13,050",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,D1 - místní komunikace - pěší a obytné zóny,50° 43' 14.64509'' N,15° 10' 17.83489'' E
P5524,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"13,443",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 13.68623'' N,15° 10' 37.45179'' E
P5525,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"13,634",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 13.57534'' N,15° 10' 46.98067'' E
P5526,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"13,805",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 13.56757'' N,15° 10' 55.76941'' E
P5527,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"14,064",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 43' 13.44904'' N,15° 11' 08.84541'' E
P5528,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"14,448",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 12.80065'' N,15° 11' 28.29651'' E
P5529,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"14,939",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 43' 23.04870'' N,15° 11' 41.30153'' E
P553,0281 - Protivín (mimo) - Zdice (mimo),"89,017",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 48' 25.85463'' N,13° 58' 12.13883'' E
