Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P2014,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"10,493",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 45' 32.63924'' N,14° 05' 12.80371'' E
P2016,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"11,071",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 45' 26.10135'' N,14° 04' 45.61648'' E
P2017,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"11,506",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 45' 20.28242'' N,14° 04' 25.69021'' E
P2018,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"11,984",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 45' 22.75686'' N,14° 04' 01.32684'' E
P2019,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"12,480",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 45' 25.35814'' N,14° 03' 36.57320'' E
P202,0141 - Karlovy Vary - Sedlec - Potůčky st.hr.,"44,885",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 25' 31.91522'' N,12° 44' 25.72772'' E
P2020,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"13,812",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 45' 18.33335'' N,14° 02' 30.48761'' E
P2021,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"14,470",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 45' 02.94727'' N,14° 02' 07.51464'' E
P2022,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"14,940",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 44' 54.36108'' N,14° 01' 47.80587'' E
P2024,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"20,014",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 43' 15.78248'' N,13° 59' 19.48060'' E
P2025,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"20,437",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 43' 15.48524'' N,13° 58' 57.91654'' E
P2026,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"20,817",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 43' 19.51396'' N,13° 58' 40.42091'' E
P2027,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"21,346",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 43' 31.04136'' N,13° 58' 19.11491'' E
P2028,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"21,980",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,II. - silnice II.třídy,50° 43' 36.51705'' N,13° 57' 49.90462'' E
P2029,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"22,885",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 43' 17.46956'' N,13° 57' 16.05384'' E
P203,0141 - Karlovy Vary - Sedlec - Potůčky st.hr.,"45,281",S - Světelná PZZ se závorami,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 25' 38.20121'' N,12° 44' 39.38796'' E
P2030,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"23,827",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 42' 55.99405'' N,13° 56' 42.86401'' E
P2031,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"24,104",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 42' 50.83172'' N,13° 56' 31.46952'' E
P2033,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"27,192",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 41' 47.01856'' N,13° 54' 34.61856'' E
P2035,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"27,964",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 41' 32.68052'' N,13° 54' 02.41209'' E
P2036,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"29,090",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 41' 22.09467'' N,13° 53' 09.53538'' E
P2037,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"30,060",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 41' 10.04396'' N,13° 52' 24.61682'' E
P2038,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"30,372",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 41' 05.56173'' N,13° 52' 10.40344'' E
P2039,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"30,687",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 41' 01.86524'' N,13° 51' 55.49640'' E
P204,0141 - Karlovy Vary - Sedlec - Potůčky st.hr.,"45,755",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,4L - účelové komunikace - lesní cesty 4.třídy,50° 25' 47.66858'' N,12° 44' 22.07357'' E
P2040,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"30,946",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 40' 57.96223'' N,13° 51' 43.67408'' E
P2041,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"31,095",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,II. - silnice II.třídy,50° 40' 55.74633'' N,13° 51' 37.02569'' E
P2042,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"31,290",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 40' 52.88187'' N,13° 51' 28.31238'' E
P2043,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"32,372",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 40' 33.00224'' N,13° 50' 43.03637'' E
P2044,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"32,774",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 40' 30.60326'' N,13° 50' 23.10110'' E
P2045,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"33,039",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 40' 29.65617'' N,13° 50' 09.67885'' E
P2046,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"33,868",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 40' 17.42756'' N,13° 49' 33.31517'' E
P2047,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"34,916",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 39' 46.86326'' N,13° 49' 15.82874'' E
P2048,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"35,353",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,A - místní komunikace - rychlostní,50° 39' 32.54743'' N,13° 49' 13.81226'' E
P2049,0641 - Děčín hl.n.(západ) (mimo) - Oldřichov u Duchcova (mimo),"38,318",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 38' 59.07295'' N,13° 47' 07.16713'' E
P205,0151 - Merklín (včetně) - Dalovice (mimo),"0,047",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 19' 34.97303'' N,12° 51' 54.16218'' E
P2051,0651 - Úpořiny (mimo) - Lovosice (mimo),"11,405",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 35' 41.66292'' N,13° 52' 22.69584'' E
P2052,0651 - Úpořiny (mimo) - Lovosice (mimo),"12,079",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 30.60368'' N,13° 52' 52.39320'' E
P2053,0651 - Úpořiny (mimo) - Lovosice (mimo),"13,677",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,II. - silnice II.třídy,50° 35' 18.99387'' N,13° 54' 09.00865'' E
P2054,0651 - Úpořiny (mimo) - Lovosice (mimo),"14,215",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 14.94512'' N,13° 54' 35.71478'' E
P2055,0651 - Úpořiny (mimo) - Lovosice (mimo),"14,722",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 14.42099'' N,13° 54' 59.87302'' E
P2056,0651 - Úpořiny (mimo) - Lovosice (mimo),"15,682",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D - účelové komunikace - polní cesty doplňkové,50° 35' 09.67329'' N,13° 55' 46.40703'' E
P2057,0651 - Úpořiny (mimo) - Lovosice (mimo),"16,208",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 07.84153'' N,13° 56' 11.68129'' E
P2058,0651 - Úpořiny (mimo) - Lovosice (mimo),"18,223",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 35' 26.60673'' N,13° 57' 31.15693'' E
P2059,0651 - Úpořiny (mimo) - Lovosice (mimo),"18,548",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 19.53859'' N,13° 57' 43.59214'' E
P206,0151 - Merklín (včetně) - Dalovice (mimo),"1,656",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 18' 47.90832'' N,12° 51' 40.61192'' E
P2060,0651 - Úpořiny (mimo) - Lovosice (mimo),"19,133",M - Mechanická PZZ,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 35' 08.43973'' N,13° 58' 07.36249'' E
P2061,0651 - Úpořiny (mimo) - Lovosice (mimo),"19,272",M - Mechanická PZZ,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 08.03167'' N,13° 58' 14.33662'' E
P2062,0651 - Úpořiny (mimo) - Lovosice (mimo),"19,643",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 35' 05.49119'' N,13° 58' 31.24172'' E
P2063,0651 - Úpořiny (mimo) - Lovosice (mimo),"21,682",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 34' 54.79972'' N,14° 00' 04.65050'' E
P2064,0651 - Úpořiny (mimo) - Lovosice (mimo),"23,140",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D - účelové komunikace - polní cesty doplňkové,50° 34' 23.88361'' N,14° 00' 51.39780'' E
P2065,0651 - Úpořiny (mimo) - Lovosice (mimo),"25,515",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 33' 21.38302'' N,14° 00' 07.44757'' E
P2066,0651 - Úpořiny (mimo) - Lovosice (mimo),"25,712",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 33' 19.67293'' N,13° 59' 57.67040'' E
P2067,0651 - Úpořiny (mimo) - Lovosice (mimo),"26,183",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 33' 12.07298'' N,13° 59' 37.46651'' E
P2068,0651 - Úpořiny (mimo) - Lovosice (mimo),"26,565",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 33' 00.77476'' N,13° 59' 31.90170'' E
P2069,0651 - Úpořiny (mimo) - Lovosice (mimo),"27,212",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 32' 43.77747'' N,13° 59' 13.35577'' E
P207,0151 - Merklín (včetně) - Dalovice (mimo),"2,250",S - Světelná PZZ se závorami,Karlovarský kraj,67299 - OŘ Ústí nad Labem,B - místní komunikace - sběrná,50° 18' 35.31002'' N,12° 52' 01.08847'' E
P2070,0651 - Úpořiny (mimo) - Lovosice (mimo),"32,837",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 32' 02.64840'' N,14° 02' 50.27052'' E
P2071,0651 - Úpořiny (mimo) - Lovosice (mimo),"33,871",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 31' 29.81286'' N,14° 02' 45.10704'' E
P2072,0651 - Úpořiny (mimo) - Lovosice (mimo),"34,168",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 31' 21.23136'' N,14° 02' 38.46392'' E
P2073,0651 - Úpořiny (mimo) - Lovosice (mimo),"34,282",M - Mechanická PZZ,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 31' 18.19237'' N,14° 02' 35.60590'' E
P2074,0651 - Úpořiny (mimo) - Lovosice (mimo),"34,715",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 31' 04.82741'' N,14° 02' 32.80389'' E
P2075,0651 - Úpořiny (mimo) - Lovosice (mimo),"34,950",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 30' 57.86530'' N,14° 02' 37.49058'' E
P2076,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"0,839",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 38' 46.01424'' N,13° 58' 52.22205'' E
P2077,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"1,526",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 38' 27.89843'' N,13° 59' 01.86568'' E
P2078,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"2,478",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 37' 58.60759'' N,13° 59' 16.59929'' E
P2079,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"5,436",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 36' 58.99657'' N,13° 58' 07.81965'' E
P208,0151 - Merklín (včetně) - Dalovice (mimo),"2,707",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 18' 21.35350'' N,12° 52' 08.54281'' E
P2080,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"8,111",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 36' 31.22271'' N,13° 56' 14.52229'' E
P2081,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"8,772",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,V - účelové komunikace - polní cesty vedlejší,50° 36' 26.66755'' N,13° 55' 41.64008'' E
P2082,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"10,226",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 36' 04.10983'' N,13° 54' 38.72815'' E
P2083,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"11,556",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 36' 24.19047'' N,13° 53' 46.88991'' E
P2084,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"11,905",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 36' 21.40079'' N,13° 53' 29.74428'' E
P2085,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"13,161",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 36' 41.58776'' N,13° 52' 55.44378'' E
P2086,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"15,200",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 36' 19.66036'' N,13° 51' 31.32853'' E
P2087,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"18,688",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 35' 18.82760'' N,13° 50' 44.64089'' E
P2088,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"20,128",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 35' 27.64691'' N,13° 49' 34.29387'' E
P2089,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"20,852",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 35' 17.95222'' N,13° 49' 01.37165'' E
P209,0151 - Merklín (včetně) - Dalovice (mimo),"2,991",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 18' 12.88427'' N,12° 52' 13.56038'' E
P2090,0661 - Ústí nad Labem západ-Trmice (m - Bílina (mimo),"22,910",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 34' 41.52091'' N,13° 47' 38.38555'' E
P2091,0671 - Řetenice (mimo) - Úpořiny (mimo),"0,595",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 38' 31.78049'' N,13° 47' 33.40284'' E
P2092,0671 - Řetenice (mimo) - Úpořiny (mimo),"1,086",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,V - účelové komunikace - polní cesty vedlejší,50° 38' 18.62560'' N,13° 47' 30.87173'' E
P2093,0671 - Řetenice (mimo) - Úpořiny (mimo),"1,394",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,II. - silnice II.třídy,50° 38' 13.08183'' N,13° 47' 43.71809'' E
P2094,0671 - Řetenice (mimo) - Úpořiny (mimo),"1,957",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,67299 - OŘ Ústí nad Labem,D1 - místní komunikace - pěší a obytné zóny,50° 38' 03.66632'' N,13° 48' 08.40699'' E
P2095,0671 - Řetenice (mimo) - Úpořiny (mimo),"3,140",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 37' 57.29280'' N,13° 49' 06.95215'' E
P2096,0671 - Řetenice (mimo) - Úpořiny (mimo),"3,438",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,C - místní komunikace - obslužná,50° 37' 53.44543'' N,13° 49' 20.48420'' E
P2097,0671 - Řetenice (mimo) - Úpořiny (mimo),"6,221",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 37' 37.36747'' N,13° 51' 30.65192'' E
P2098,0671 - Řetenice (mimo) - Úpořiny (mimo),"7,290",S - Světelná PZZ bez závor,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 37' 16.24249'' N,13° 52' 13.15731'' E
P2099,0671 - Řetenice (mimo) - Úpořiny (mimo),"8,865",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 36' 44.69746'' N,13° 53' 00.44035'' E
P21,0101 - Praha-Bubny (mimo) - Chomutov-záp.zhlaví (mimo),"22,270",S - Světelná PZZ se závorami,Středočeský kraj,66699 - OŘ Praha,I. - silnice I.třídy,50° 05' 51.37920'' N,14° 09' 42.40171'' E
P210,0151 - Merklín (včetně) - Dalovice (mimo),"3,318",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 18' 08.23524'' N,12° 52' 28.42634'' E
P2100,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"3,009",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,50° 13' 56.88616'' N,14° 16' 36.44449'' E
P2101,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"3,142",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 13' 58.26291'' N,14° 16' 30.28569'' E
P2102,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"3,681",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 14' 09.89816'' N,14° 16' 10.22529'' E
P2104,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"4,217",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,50° 14' 18.16086'' N,14° 15' 46.82028'' E
P2105,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"5,242",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 14' 43.00777'' N,14° 15' 17.75739'' E
P2106,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"5,525",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,50° 14' 51.42116'' N,14° 15' 12.81318'' E
P2107,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"6,573",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 15' 21.96872'' N,14° 14' 49.01953'' E
P2108,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"8,009",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 16' 04.66780'' N,14° 14' 22.61266'' E
P2109,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"8,910",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 16' 32.80815'' N,14° 14' 20.79662'' E
P211,0151 - Merklín (včetně) - Dalovice (mimo),"3,511",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 18' 04.97031'' N,12° 52' 36.60375'' E
P2110,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"9,210",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 16' 41.65404'' N,14° 14' 24.67707'' E
P2111,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"9,500",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,D1 - místní komunikace - pěší a obytné zóny,50° 16' 50.66779'' N,14° 14' 26.78709'' E
P2112,0681 - Kralupy nad Vltavou předm. (mi - Velvary (včetně),"9,665",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,C - místní komunikace - obslužná,50° 16' 54.59013'' N,14° 14' 32.25440'' E
